parent,label,date,lon,lat,confirmed,recovered,deaths
USA,"Umatilla, OR",2020-03-09,-118.7606,45.775,1,0,0
Deutschland,Bayern,2020-03-09,11.658165,48.768814,256,14,0
Deutschland,Baden-Württemberg,2020-03-09,9.147687,48.606091,199,0,0
USA,"Providence County, RI",2020-03-09,-71.4774,41.8882,3,0,0
global,Senegal,2020-03-09,-14.4524,14.4974,4,1,0
global,Vietnam,2020-03-09,108,16,30,16,0
USA,"Orange County, CA",2020-03-09,-117.8531,33.7879,4,0,0
USA,"Chatham County, NC",2020-03-09,-79.1781,35.7211,1,0,0
global,Dominikanische Republik,2020-03-09,-70.1627,18.7357,5,0,0
global,Südafrika,2020-03-09,22.9375,-30.5595,3,0,0
China,Tianjin,2020-03-09,117.323,39.3054,136,130,3
USA,"Delaware County, PA",2020-03-09,-75.3879,39.9078,1,0,0
global,Dänemark,2020-03-09,9.5018,56.2639,90,1,0
USA,"Maricopa County, AZ",2020-03-09,-112.4291,33.2918,2,1,0
global,Singapur,2020-03-09,103.8333,1.2833,150,78,0
USA,"Douglas County, NE",2020-03-09,-96.1951,41.3148,3,0,0
global,Nordmazedonien,2020-03-09,21.7453,41.6086,3,0,0
Kanada,Quebec,2020-03-09,-73.5491,52.9399,4,0,0
global,Libanon,2020-03-09,35.8623,33.8547,32,1,0
USA,"Fayette County, KY",2020-03-09,-84.4803,38.0606,1,0,0
global,Niederlande,2020-03-09,5.2913,52.1326,321,0,3
global,Albanien,2020-03-09,20.1683,41.1533,2,0,0
China,Anhui,2020-03-09,117.2264,31.8257,990,984,6
USA,"Marion County, IN",2020-03-09,-86.1752,39.8362,1,0,0
global,Luxemburg,2020-03-09,6.1296,49.8153,3,0,0
USA,"Placer County, CA",2020-03-09,-120.8039,39.0916,7,0,1
global,Russland,2020-03-09,90,60,17,3,0
USA,"Middlesex County, MA",2020-03-09,-71.2874,42.4672,7,0,0
Deutschland,Saarland,2020-03-09,6.961042,49.41788,5,0,0
global,Zypern,2020-03-09,33.4299,35.1264,2,0,0
Deutschland,Rheinland-Pfalz,2020-03-09,7.269307,50.104033,19,0,0
global,Argentinien,2020-03-09,-63.6167,-38.4161,12,0,1
USA,"Nassau County, NY",2020-03-09,-73.5594,40.6546,17,0,0
China,Shanxi,2020-03-09,112.2922,37.5777,133,127,0
global,Brunei,2020-03-09,114.7277,4.5353,1,0,0
global,Belgien,2020-03-09,4,50.8333,239,1,0
USA,"Ramsey County, MN",2020-03-09,-93.0616,44.9964,1,0,0
China,Peking (Beijing),2020-03-09,116.4142,40.1824,428,315,8
global,Kambodscha,2020-03-09,104.9167,11.55,2,1,0
China,Hubei (Wuhan),2020-03-09,112.2707,30.9756,67743,46488,3008
USA,"Washoe County, NV",2020-03-09,-119.6035,40.5608,2,0,0
global,Indonesien,2020-03-09,113.9213,-0.7893,19,0,0
USA,"Sonoma County, CA",2020-03-09,-122.9888,38.578,3,0,0
global,Kamerun,2020-03-09,11.5021,3.848,2,0,0
USA,"Wayne County, PA",2020-03-09,-75.2479,41.6739,1,0,0
USA,"San Benito, CA",2020-03-09,-120.9876,36.5761,2,0,0
USA,"Cook County, IL",2020-03-09,-87.6976,41.7377,7,2,0
China,Qinghai,2020-03-09,95.9956,35.7452,18,18,0
USA,"Yolo County, CA",2020-03-09,-121.9018,38.7646,1,0,0
China,Jiangxi,2020-03-09,115.7221,27.614,935,923,1
global,Mexiko,2020-03-09,-102.5528,23.6345,7,1,0
Deutschland,Sachsen,2020-03-09,13.349228,51.022904,10,0,0
global,Thailand,2020-03-09,101,15,50,31,1
global,Afghanistan,2020-03-09,65,33,4,0,0
China,Gansu,2020-03-09,101.0583,37.8099,124,88,2
global,Kolumbien,2020-03-09,-74.2973,4.5709,1,0,0
global,Brasilien,2020-03-09,-51.9253,-14.235,25,0,0
global,Chile,2020-03-09,-71.543,-35.6751,8,0,0
China,Shanghai,2020-03-09,121.4491,31.202,342,315,3
Deutschland,Repatriierte,2020-03-09,null,null,2,2,0
global,Spanien,2020-03-09,-4,40,1073,32,28
global,Monaco,2020-03-09,7.4167,43.7333,1,0,0
USA,"Santa Clara County, CA",2020-03-09,-121.9552,37.3541,38,1,0
global,Iran,2020-03-09,53,32,7161,2394,237
global,Costa Rica,2020-03-09,-83.7534,9.7489,9,0,0
China,Macau,2020-03-09,113.55,22.1667,10,10,0
global,Finnland,2020-03-09,26,64,30,1,0
USA,"Clark County, NV",2020-03-09,-115.094,36.0796,2,0,0
global,Portugal,2020-03-09,-8.2245,39.3999,30,0,0
global,Algerien,2020-03-09,1.6596,28.0339,20,0,0
global,Moldawien,2020-03-09,28.3699,47.4116,1,0,0
China,Shandong,2020-03-09,118.1498,36.3427,758,700,6
USA,"Fort Bend County, TX",2020-03-09,-95.8143,29.5693,6,0,0
global,Österreich,2020-03-09,14.5501,47.5162,131,2,0
global,San Marino,2020-03-09,12.4578,43.9424,36,0,1
China,Hong Kong,2020-03-09,114.2,22.3,115,59,3
global,Peru,2020-03-09,-75.0152,-9.19,7,0,0
USA,"Grant County, WA",2020-03-09,-119.3732,47.1981,1,0,1
USA,"Kreuzfahrtschiff ""Diamond Princess""",2020-03-09,139.638,35.4437,45,0,0
global,Jordanien,2020-03-09,36.51,31.24,1,0,0
Australien,New South Wales,2020-03-09,151.2093,-33.8688,48,4,2
Dänemark,Färöer,2020-03-09,-6.9118,61.8926,2,0,0
USA,"Santa Rosa County, FL",2020-03-09,-86.9824,30.769,1,0,1
China,Hebei,2020-03-09,116.1306,39.549,318,307,6
global,Italien,2020-03-09,12,43,9172,724,463
Frankreich,Saint Martin,2020-03-09,-63.0501,18.0708,2,0,0
USA,"Westchester County, NY",2020-03-09,-73.7949,41.122,98,0,0
USA,"Williamson County, TN",2020-03-09,-86.8622,35.9179,1,0,0
USA,"Contra Costa County, CA",2020-03-09,-121.9018,37.8534,9,0,0
global,Neuseeland,2020-03-09,174.886,-40.9006,5,0,0
USA,"Kreuzfahrtschiff ""Grand Princess""",2020-03-09,-122.6655,37.6489,21,0,0
global,Philippinen,2020-03-09,122,13,20,1,1
global,Serbien,2020-03-09,21.0059,44.0165,1,0,0
global,Südkorea,2020-03-09,128,36,7478,118,53
Deutschland,Brandenburg,2020-03-09,14.124409,52.073056,6,0,0
USA,"New York County, NY",2020-03-09,-74.006,40.7128,19,0,0
Deutschland,Berlin,2020-03-09,13.40732,52.52045,40,0,0
global,Andorra,2020-03-09,1.5218,42.5063,1,0,0
China,Liaoning,2020-03-09,122.6085,41.2956,125,109,1
USA,"Montgomery County, MD",2020-03-09,-77.2405,39.1547,4,0,0
Kreuzfahrtschiffe und Sonstige,"Kreuzfahrtschiff ""Diamond Princess""",2020-03-09,139.638,35.4437,696,40,6
global,Nepal,2020-03-09,84.25,28.1667,1,1,0
USA,"San Diego County, CA",2020-03-09,-117.1611,32.7157,3,1,0
global,Ukraine,2020-03-09,31.1656,48.3794,1,0,0
global,Slowakei,2020-03-09,19.699,48.669,3,0,0
China,Fujian,2020-03-09,117.9874,26.0789,296,295,1
global,Katar,2020-03-09,51.1839,25.3548,18,0,0
global,Irak,2020-03-09,44,33,60,3,6
China,Tibet,2020-03-09,88.0924,31.6927,1,1,0
Deutschland,Nordrhein-Westfalen,2020-03-09,7.385313,51.510157,484,0,0
USA,"San Francisco County, CA",2020-03-09,-122.4194,37.7749,9,0,0
Deutschland,Niedersachsen,2020-03-09,9.944255,52.518203,33,0,0
global,Georgien,2020-03-09,43.3569,42.3154,15,0,0
USA,"Suffolk County, MA",2020-03-09,-71.0589,42.3601,8,1,0
global,Togo,2020-03-09,0.8248,8.6195,1,0,0
Kanada,British Columbia,2020-03-09,-123.1207,49.2827,32,4,1
global,Ägypten,2020-03-09,30,26,55,1,1
USA,"Denver County, CO",2020-03-09,-104.9903,39.7392,2,0,0
global,Frankreich,2020-03-09,2.2137,46.2276,1209,12,19
China,Jilin,2020-03-09,126.1923,43.6661,93,91,1
Frankreich,Saint Barthélemy,2020-03-09,-62.8333,17.9,1,0,0
USA,"Summit County, CO",2020-03-09,-106.064,39.5912,1,0,0
global,Ungarn,2020-03-09,19.5033,47.1625,9,0,0
global,Belarus,2020-03-09,27.9534,53.7098,6,1,0
USA,"Harris County, TX",2020-03-09,-95.3103,29.7752,6,0,0
China,Jiangsu,2020-03-09,119.455,32.9711,631,621,0
USA,"Bergen County, NJ",2020-03-09,-74.077,40.9263,4,0,0
global,Malta,2020-03-10,14.3754,35.9375,5,0,0
Deutschland,Repatriierte,2020-03-10,null,null,2,2,0
China,Tibet,2020-03-10,88.0924,31.6927,1,1,0
Großbritannien,Kanalinseln,2020-03-10,-2.3644,49.3723,1,0,0
Frankreich,Saint Martin,2020-03-10,-63.0501,18.0708,2,0,0
Dänemark,Färöer,2020-03-10,-6.9118,61.8926,2,0,0
global,Moldawien,2020-03-10,28.3699,47.4116,3,0,0
China,Macau,2020-03-10,113.55,22.1667,10,10,0
China,Qinghai,2020-03-10,95.9956,35.7452,18,18,0
global,Russland,2020-03-10,90,60,20,3,0
global,Vietnam,2020-03-10,108,16,31,16,0
global,Taiwan,2020-03-10,121,23.7,47,17,1
China,Ningxia,2020-03-10,106.1655,37.2692,75,71,0
China,Innere Mongolei,2020-03-10,113.9448,44.0935,75,70,1
China,Xinjiang,2020-03-10,85.2401,41.1129,76,73,3
global,Tschechien,2020-03-10,15.473,49.8175,41,0,0
China,Jilin,2020-03-10,126.1923,43.6661,93,91,1
China,Liaoning,2020-03-10,122.6085,41.2956,125,111,1
China,Hong Kong,2020-03-10,114.2,22.3,120,65,3
China,Gansu,2020-03-10,101.0583,37.8099,125,88,2
China,Shanxi,2020-03-10,112.2922,37.5777,133,131,0
China,Tianjin,2020-03-10,117.323,39.3054,136,131,3
China,Guizhou,2020-03-10,106.8748,26.8154,146,129,2
China,Hainan,2020-03-10,109.7453,19.1959,168,159,6
China,Yunnan,2020-03-10,101.487,24.974,174,170,2
China,Shaanxi,2020-03-10,108.8701,35.1917,245,227,1
China,Guangxi,2020-03-10,108.7881,23.8298,252,234,2
China,Fujian,2020-03-10,117.9874,26.0789,296,295,1
China,Hebei,2020-03-10,116.1306,39.549,318,307,6
China,Shanghai,2020-03-10,121.4491,31.202,344,319,3
China,Peking (Beijing),2020-03-10,116.4142,40.1824,429,320,8
global,Dänemark,2020-03-10,9.5018,56.2639,262,1,0
global,Großbritannien,2020-03-10,-3.436,55.3781,382,18,6
China,Heilongjiang,2020-03-10,127.7615,47.862,481,434,13
China,Sichuan,2020-03-10,102.7103,30.6171,539,478,3
China,Chongqing,2020-03-10,107.874,30.0572,576,547,6
China,Jiangsu,2020-03-10,119.455,32.9711,631,627,0
Kreuzfahrtschiffe und Sonstige,"Kreuzfahrtschiff ""Diamond Princess""",2020-03-10,139.638,35.4437,696,40,6
China,Shandong,2020-03-10,118.1498,36.3427,758,719,6
China,Jiangxi,2020-03-10,115.7221,27.614,935,927,1
China,Anhui,2020-03-10,117.2264,31.8257,990,984,6
China,Hunan,2020-03-10,111.7088,27.6104,1018,990,4
China,Zhejiang,2020-03-10,120.0934,29.1832,1215,1191,1
China,Henan,2020-03-10,113.614,33.882,1272,1247,22
China,Guangdong,2020-03-10,113.4244,23.3417,1353,1274,8
global,Frankreich,2020-03-10,2.2137,46.2276,1784,12,33
global,Südkorea,2020-03-10,128,36,7513,247,54
global,Iran,2020-03-10,53,32,8042,2731,291
China,Hubei (Wuhan),2020-03-10,112.2707,30.9756,67760,47743,3024
USA,Vermont,2020-03-10,-72.7107,44.0459,1,0,0
USA,Missouri,2020-03-10,-92.2884,38.4561,1,0,0
USA,Louisiana,2020-03-10,-91.8678,31.1695,1,0,0
USA,Kansas,2020-03-10,-96.7265,38.5266,1,0,0
global,Panama,2020-03-10,-80.7821,8.538,1,0,0
global,Mongolei,2020-03-10,103.8467,46.8625,1,0,0
global,Vatikan,2020-03-10,12.4534,41.9029,1,0,0
global,Burkina Faso,2020-03-10,-1.5616,12.2383,1,0,0
USA,Utah,2020-03-10,-111.8624,40.15,2,0,0
USA,Oklahoma,2020-03-10,-96.9289,35.5653,2,0,0
USA,Hawaii,2020-03-10,-157.4983,21.0943,2,0,0
USA,Connecticut,2020-03-10,-72.7554,41.5978,2,0,0
USA,Wisconsin,2020-03-10,-89.6165,44.2685,3,1,0
USA,Rhode Island,2020-03-10,-71.5118,41.6809,3,0,0
USA,Ohio,2020-03-10,-82.7649,40.3888,3,0,0
USA,Nebraska,2020-03-10,-98.2681,41.1254,3,0,0
USA,Minnesota,2020-03-10,-93.9002,45.6945,3,0,0
USA,New Hampshire,2020-03-10,-71.5639,43.4525,4,0,0
USA,Nevada,2020-03-10,-117.0554,38.3135,4,0,0
USA,District of Columbia,2020-03-10,-77.0268,38.8974,5,0,0
USA,Kentucky,2020-03-10,-84.6701,37.6681,6,0,0
USA,Indiana,2020-03-10,-86.2583,39.8494,6,0,0
USA,Arizona,2020-03-10,-111.4312,33.7298,6,1,0
USA,Virginia,2020-03-10,-78.17,37.7693,7,0,0
USA,Tennessee,2020-03-10,-86.6923,35.7478,7,0,0
USA,South Carolina,2020-03-10,-80.945,33.8569,7,0,0
USA,North Carolina,2020-03-10,-79.8064,35.6301,7,0,0
USA,Maryland,2020-03-10,-76.8021,39.0639,8,0,0
USA,Iowa,2020-03-10,-93.2105,42.0115,8,0,0
USA,Pennsylvania,2020-03-10,-77.2098,40.5908,12,0,0
USA,Illinois,2020-03-10,-88.9861,40.3495,12,2,0
USA,Texas,2020-03-10,-97.5635,31.0545,13,0,0
USA,Oregon,2020-03-10,-122.0709,44.572,15,0,0
USA,New Jersey,2020-03-10,-74.521,40.2989,15,0,1
USA,Florida,2020-03-10,-81.6868,27.7663,15,0,2
USA,Colorado,2020-03-10,-105.3111,39.0598,15,0,0
USA,Georgia,2020-03-10,-83.6431,33.0406,17,0,0
USA,"Kreuzfahrtschiff ""Grand Princess""",2020-03-10,-122.6655,37.6489,21,0,0
USA,"Kreuzfahrtschiff ""Diamond Princess""",2020-03-10,139.638,35.4437,46,0,0
USA,Massachusetts,2020-03-10,-71.5301,42.2302,92,1,0
USA,California,2020-03-10,-119.6816,36.1162,144,2,2
USA,New York,2020-03-10,-74.9481,42.1657,173,0,0
USA,Washington,2020-03-10,-121.4905,47.4009,267,1,23
global,Brunei,2020-03-10,114.7277,4.5353,1,0,0
global,Zypern,2020-03-10,33.4299,35.1264,3,0,0
global,Albanien,2020-03-10,20.1683,41.1533,10,0,0
Kanada,Quebec,2020-03-10,-73.5491,52.9399,4,0,0
Kanada,Alberta,2020-03-10,-116.5765,53.9333,7,0,0
Kanada,Ontario,2020-03-10,-85.3232,51.2538,36,4,0
global,Paraguay,2020-03-10,-58.4438,-23.4425,1,0,0
global,Bangladesch,2020-03-10,90.3563,23.685,3,0,0
Großbritannien,Gibraltar,2020-03-10,-5.3536,36.1408,1,1,0
global,Malediven,2020-03-10,73.2207,3.2028,6,0,0
global,Bulgarien,2020-03-10,25.4858,42.7339,4,0,0
global,Martinique,2020-03-10,-61.0242,14.6415,2,0,0
Frankreich,Saint Barthélemy,2020-03-10,-62.8333,17.9,1,0,0
global,Französisch-Guyana,2020-03-10,-53.1258,3.9339,5,0,0
global,Togo,2020-03-10,0.8248,8.6195,1,0,0
global,Slowakei,2020-03-10,19.699,48.669,7,0,0
global,Serbien,2020-03-10,21.0059,44.0165,5,0,0
global,Peru,2020-03-10,-75.0152,-9.19,11,0,0
global,Costa Rica,2020-03-10,-83.7534,9.7489,9,0,0
global,Kolumbien,2020-03-10,-74.2973,4.5709,3,0,0
global,Kamerun,2020-03-10,11.5021,3.848,2,0,0
global,Bhutan,2020-03-10,90.4336,27.5142,1,0,0
global,Südafrika,2020-03-10,22.9375,-30.5595,7,0,0
global,Slowenien,2020-03-10,14.9955,46.1512,31,0,0
global,Bosnien und Herzegowina,2020-03-10,17.6791,43.9159,5,0,0
global,Tunesien,2020-03-10,9,34,5,0,0
global,Polen,2020-03-10,19.1451,51.9194,22,0,0
global,Liechtenstein,2020-03-10,9.55,47.14,1,0,0
Australien,Northern Territory,2020-03-10,130.8456,-12.4634,1,0,0
global,Ungarn,2020-03-10,19.5033,47.1625,9,0,0
global,Ukraine,2020-03-10,31.1656,48.3794,1,0,0
global,Jordanien,2020-03-10,36.51,31.24,1,0,0
global,Chile,2020-03-10,-71.543,-35.6751,13,0,0
global,Argentinien,2020-03-10,-63.6167,-38.4161,17,0,1
global,Senegal,2020-03-10,-14.4524,14.4974,4,1,0
global,Saudiarabien,2020-03-10,45,24,20,1,0
global,Marokko,2020-03-10,-7.0926,31.7917,3,0,1
global,Lettland,2020-03-10,24.6032,56.8796,8,1,0
Australien,Tasmania,2020-03-10,145.9707,-41.4545,2,0,0
global,Andorra,2020-03-10,1.5218,42.5063,1,0,0
global,Portugal,2020-03-10,-8.2245,39.3999,41,0,0
global,Indonesien,2020-03-10,113.9213,-0.7893,27,2,0
global,Dominikanische Republik,2020-03-10,-70.1627,18.7357,5,0,0
global,Armenien,2020-03-10,45.0382,40.0691,1,0,0
global,Aserbaidschan,2020-03-10,47.5769,40.1431,11,0,0
global,Ecuador,2020-03-10,-78.1834,-1.8312,15,0,0
global,Katar,2020-03-10,51.1839,25.3548,24,0,0
global,Monaco,2020-03-10,7.4167,43.7333,1,0,0
global,Luxemburg,2020-03-10,6.1296,49.8153,5,0,0
global,Irland,2020-03-10,-7.6921,53.1424,34,0,0
Australien,Western Australia,2020-03-10,115.8605,-31.9505,6,0,1
global,Nigeria,2020-03-10,8.6753,9.082,2,0,0
global,Neuseeland,2020-03-10,174.886,-40.9006,5,0,0
global,Mexiko,2020-03-10,-102.5528,23.6345,7,4,0
global,Litauen,2020-03-10,23.8813,55.1694,1,0,0
global,Island,2020-03-10,-19.0208,64.9631,69,1,0
global,Belarus,2020-03-10,27.9534,53.7098,9,3,0
global,San Marino,2020-03-10,12.4578,43.9424,51,0,2
global,Niederlande,2020-03-10,5.2913,52.1326,382,0,4
global,Estland,2020-03-10,25.0136,58.5953,12,0,0
global,Rumänien,2020-03-10,24.9668,45.9432,25,3,0
global,Norwegen,2020-03-10,8.4689,60.472,400,1,0
global,Nordmazedonien,2020-03-10,21.7453,41.6086,7,0,0
global,Griechenland,2020-03-10,21.8243,39.0742,89,0,0
global,Georgien,2020-03-10,43.3569,42.3154,15,0,0
global,Brasilien,2020-03-10,-51.9253,-14.235,31,0,0
global,Pakistan,2020-03-10,69.3451,30.3753,16,1,0
global,Israel,2020-03-10,35,31,83,4,0
global,Österreich,2020-03-10,14.5501,47.5162,182,4,0
global,Schweiz,2020-03-10,8.2275,46.8182,491,3,3
global,Kroatien,2020-03-10,15.2,45.1,14,0,0
global,Algerien,2020-03-10,1.6596,28.0339,20,0,0
global,Kuwait,2020-03-10,47.75,29.5,69,1,0
global,Bahrain,2020-03-10,50.55,26.0275,110,22,0
global,Afghanistan,2020-03-10,65,33,5,0,0
global,Oman,2020-03-10,57,21,18,9,0
global,Irak,2020-03-10,44,33,71,3,7
global,Libanon,2020-03-10,35.8623,33.8547,41,1,1
global,Ägypten,2020-03-10,30,26,59,1,1
global,Belgien,2020-03-10,4,50.8333,267,1,0
Australien,South Australia,2020-03-10,138.6007,-34.9285,7,2,0
global,Spanien,2020-03-10,-4,40,1695,32,35
global,Schweden,2020-03-10,16,63,355,1,0
global,Italien,2020-03-10,12,43,10149,724,631
global,Indien,2020-03-10,78,21,56,4,0
global,Philippinen,2020-03-10,122,13,33,2,1
global,Vereinigte Arabische Emirate,2020-03-10,54,24,74,12,0
global,Finnland,2020-03-10,26,64,40,1,0
global,Sri Lanka,2020-03-10,81,7,1,1,0
global,Kambodscha,2020-03-10,104.9167,11.55,2,1,0
Australien,Queensland,2020-03-10,153.4,-28.0167,18,8,0
Australien,Victoria,2020-03-10,144.9631,-37.8136,18,7,0
Australien,New South Wales,2020-03-10,151.2093,-33.8688,55,4,2
Kanada,British Columbia,2020-03-10,-123.1207,49.2827,32,4,1
global,Malaysia,2020-03-10,112.5,2.5,129,24,0
global,Nepal,2020-03-10,84.25,28.1667,1,1,0
global,Singapur,2020-03-10,103.8333,1.2833,160,78,0
global,Japan,2020-03-10,138,36,581,101,10
global,Thailand,2020-03-10,101,15,53,33,1
Deutschland,Baden-Württemberg,2020-03-10,9.147687,48.606091,277,2,0
Deutschland,Bayern,2020-03-10,11.658165,48.768814,314,14,0
Deutschland,Berlin,2020-03-10,13.40732,52.52045,58,0,0
Deutschland,Brandenburg,2020-03-10,14.124409,52.073056,16,0,0
Deutschland,Bremen,2020-03-10,8.731851,53.029599,22,0,0
Deutschland,Hamburg,2020-03-10,10.007046,53.576158,35,0,0
Deutschland,Hessen,2020-03-10,9.217535,50.758489,35,0,0
Deutschland,Mecklenburg-Vorpommern,2020-03-10,12.708563,53.810625,13,0,0
Deutschland,Niedersachsen,2020-03-10,9.944255,52.518203,66,1,0
Deutschland,Nordrhein-Westfalen,2020-03-10,7.385313,51.510157,648,0,2
Deutschland,Rheinland-Pfalz,2020-03-10,7.269307,50.104033,25,1,0
Deutschland,Saarland,2020-03-10,6.961042,49.41788,7,0,0
Deutschland,Sachsen,2020-03-10,13.349228,51.022904,24,0,0
Deutschland,Sachsen-Anhalt,2020-03-10,11.68063,51.926892,8,0,0
Deutschland,Schleswig-Holstein,2020-03-10,9.713017,54.1882542,9,0,0
Deutschland,Thüringen,2020-03-10,11.004142,50.894378,8,0,0
global,Malediven,2020-03-11,73.2207,3.2028,8,0,0
Kanada,Ontario,2020-03-11,-85.3232,51.2538,41,4,0
China,Hong Kong,2020-03-11,114.2,22.3,126,65,3
global,Paraguay,2020-03-11,-58.4438,-23.4425,5,0,0
global,Frankreich,2020-03-11,2.2137,46.2276,2281,12,48
global,Bangladesch,2020-03-11,90.3563,23.685,3,0,0
Frankreich,Saint Barthélemy,2020-03-11,-62.8333,17.9,1,0,0
global,Südkorea,2020-03-11,128,36,7755,288,60
China,Gansu,2020-03-11,101.0583,37.8099,127,88,2
global,Bulgarien,2020-03-11,25.4858,42.7339,7,0,1
global,Iran,2020-03-11,53,32,9000,2959,354
global,Martinique,2020-03-11,-61.0242,14.6415,3,0,0
global,Bolivien,2020-03-11,-63.5887,-16.2902,2,0,0
global,Malta,2020-03-11,14.3754,35.9375,6,0,0
China,Hubei (Wuhan),2020-03-11,112.2707,30.9756,67773,49134,3046
global,Französisch-Guyana,2020-03-11,-53.1258,3.9339,5,0,0
China,Shanxi,2020-03-11,112.2922,37.5777,133,131,0
global,Togo,2020-03-11,0.8248,8.6195,1,0,0
USA,South Dakota,2020-03-11,-99.4388,44.2998,8,0,1
global,Slowakei,2020-03-11,19.699,48.669,10,0,0
USA,New Mexico,2020-03-11,-106.2485,34.8405,3,0,0
global,Serbien,2020-03-11,21.0059,44.0165,12,0,0
USA,Montana,2020-03-11,-110.4544,46.9219,1,0,0
global,Peru,2020-03-11,-75.0152,-9.19,11,0,0
USA,Michigan,2020-03-11,-84.5361,43.3266,2,0,0
global,Costa Rica,2020-03-11,-83.7534,9.7489,13,0,0
USA,Delaware,2020-03-11,-75.5071,39.3185,1,0,0
global,Kolumbien,2020-03-11,-74.2973,4.5709,9,0,0
USA,Arkansas,2020-03-11,-92.3731,34.9697,1,0,0
global,Kamerun,2020-03-11,11.5021,3.848,2,0,0
USA,Vermont,2020-03-11,-72.7107,44.0459,1,0,0
global,Bhutan,2020-03-11,90.4336,27.5142,1,0,0
global,Moldawien,2020-03-11,28.3699,47.4116,3,0,0
global,Südafrika,2020-03-11,22.9375,-30.5595,13,0,0
USA,Missouri,2020-03-11,-92.2884,38.4561,1,0,0
global,Slowenien,2020-03-11,14.9955,46.1512,57,0,0
China,Tianjin,2020-03-11,117.323,39.3054,136,131,3
global,Bosnien und Herzegowina,2020-03-11,17.6791,43.9159,7,0,0
USA,Louisiana,2020-03-11,-91.8678,31.1695,6,0,0
global,Tunesien,2020-03-11,9,34,7,0,0
Großbritannien,Gibraltar,2020-03-11,-5.3536,36.1408,1,1,0
global,Polen,2020-03-11,19.1451,51.9194,31,0,0
USA,Kansas,2020-03-11,-96.7265,38.5266,1,0,0
global,Liechtenstein,2020-03-11,9.55,47.14,1,0,0
China,Guizhou,2020-03-11,106.8748,26.8154,146,133,2
Australien,Northern Territory,2020-03-11,130.8456,-12.4634,1,0,0
global,Panama,2020-03-11,-80.7821,8.538,8,0,1
global,Ungarn,2020-03-11,19.5033,47.1625,13,0,0
China,Macau,2020-03-11,113.55,22.1667,10,10,0
global,Ukraine,2020-03-11,31.1656,48.3794,1,0,0
global,Mongolei,2020-03-11,103.8467,46.8625,1,0,0
global,Jordanien,2020-03-11,36.51,31.24,1,0,0
China,Hainan,2020-03-11,109.7453,19.1959,168,159,6
global,Chile,2020-03-11,-71.543,-35.6751,23,0,0
global,Vatikan,2020-03-11,12.4534,41.9029,1,0,0
global,Argentinien,2020-03-11,-63.6167,-38.4161,19,0,1
global,Elfenbeinküste,2020-03-11,-5.5471,7.54,1,0,0
global,Senegal,2020-03-11,-14.4524,14.4974,4,1,0
global,Burkina Faso,2020-03-11,-1.5616,12.2383,2,0,0
global,Saudiarabien,2020-03-11,45,24,21,1,0
China,Yunnan,2020-03-11,101.487,24.974,174,170,2
global,Marokko,2020-03-11,-7.0926,31.7917,5,0,1
USA,Utah,2020-03-11,-111.8624,40.15,3,0,0
global,Lettland,2020-03-11,24.6032,56.8796,10,1,0
China,Qinghai,2020-03-11,95.9956,35.7452,18,18,0
Australien,Tasmania,2020-03-11,145.9707,-41.4545,3,0,0
USA,Oklahoma,2020-03-11,-96.9289,35.5653,2,0,0
global,Andorra,2020-03-11,1.5218,42.5063,1,0,0
China,Shaanxi,2020-03-11,108.8701,35.1917,245,232,1
global,Portugal,2020-03-11,-8.2245,39.3999,59,0,0
USA,Hawaii,2020-03-11,-157.4983,21.0943,2,0,0
global,Indonesien,2020-03-11,113.9213,-0.7893,34,2,1
global,Demokratische Republik Kongo,2020-03-11,21.7587,-4.0383,1,0,0
global,Dominikanische Republik,2020-03-11,-70.1627,18.7357,5,0,0
USA,Connecticut,2020-03-11,-72.7554,41.5978,3,0,0
global,Armenien,2020-03-11,45.0382,40.0691,1,0,0
China,Guangxi,2020-03-11,108.7881,23.8298,252,238,2
global,Aserbaidschan,2020-03-11,47.5769,40.1431,11,3,0
USA,Wisconsin,2020-03-11,-89.6165,44.2685,6,1,0
global,Ecuador,2020-03-11,-78.1834,-1.8312,17,0,0
global,Russland,2020-03-11,90,60,20,3,0
global,Katar,2020-03-11,51.1839,25.3548,262,0,0
USA,Rhode Island,2020-03-11,-71.5118,41.6809,5,0,0
global,Monaco,2020-03-11,7.4167,43.7333,1,0,0
China,Fujian,2020-03-11,117.9874,26.0789,296,295,1
global,Luxemburg,2020-03-11,6.1296,49.8153,7,0,0
USA,Ohio,2020-03-11,-82.7649,40.3888,4,0,0
global,Irland,2020-03-11,-7.6921,53.1424,43,0,1
China,Tibet,2020-03-11,88.0924,31.6927,1,1,0
Australien,Western Australia,2020-03-11,115.8605,-31.9505,9,0,1
USA,Nebraska,2020-03-11,-98.2681,41.1254,5,0,0
global,Nigeria,2020-03-11,8.6753,9.082,2,0,0
China,Hebei,2020-03-11,116.1306,39.549,318,307,6
global,Neuseeland,2020-03-11,174.886,-40.9006,5,0,0
USA,Minnesota,2020-03-11,-93.9002,45.6945,5,0,0
global,Mexiko,2020-03-11,-102.5528,23.6345,8,4,0
global,Vietnam,2020-03-11,108,16,38,16,0
global,Litauen,2020-03-11,23.8813,55.1694,3,0,0
USA,New Hampshire,2020-03-11,-71.5639,43.4525,5,0,0
global,Island,2020-03-11,-19.0208,64.9631,85,1,0
China,Shanghai,2020-03-11,121.4491,31.202,344,320,3
